name,type,lat,lon
1534,H,300000.0,6655000.0
1535,H,305000.0,6655000.0
1536,H,310000.0,6655000.0
1537,H,315000.0,6655000.0
1538,H,320000.0,6655000.0
1539,H,325000.0,6655000.0
1540,H,330000.0,6655000.0
1541,H,335000.0,6655000.0
1542,H,340000.0,6655000.0
1543,H,345000.0,6655000.0
1544,H,350000.0,6655000.0
1545,H,355000.0,6655000.0
1546,H,360000.0,6655000.0
1547,H,365000.0,6655000.0
1644,H,175000.0,6660000.0
1645,H,180000.0,6660000.0
1650,H,205000.0,6660000.0
1652,H,215000.0,6660000.0
1653,H,220000.0,6660000.0
1656,H,235000.0,6660000.0
1657,H,240000.0,6660000.0
1658,H,245000.0,6660000.0
1659,H,250000.0,6660000.0
1660,H,255000.0,6660000.0
1661,H,260000.0,6660000.0
1662,H,265000.0,6660000.0
1663,H,270000.0,6660000.0
1664,H,275000.0,6660000.0
1665,H,280000.0,6660000.0
1666,H,285000.0,6660000.0
1667,H,290000.0,6660000.0
1668,H,295000.0,6660000.0
1669,H,300000.0,6660000.0
1670,H,305000.0,6660000.0
1671,H,310000.0,6660000.0
1672,H,315000.0,6660000.0
1673,H,320000.0,6660000.0
1674,H,325000.0,6660000.0
1675,H,330000.0,6660000.0
1676,H,335000.0,6660000.0
1677,H,340000.0,6660000.0
1678,H,345000.0,6660000.0
1679,H,350000.0,6660000.0
1680,H,355000.0,6660000.0
1681,H,360000.0,6660000.0
1682,H,365000.0,6660000.0
1683,H,370000.0,6660000.0
1684,H,375000.0,6660000.0
1685,H,380000.0,6660000.0
1686,H,385000.0,6660000.0
1687,H,390000.0,6660000.0
1782,H,190000.0,6665000.0
1783,H,195000.0,6665000.0
1784,H,200000.0,6665000.0
1785,H,205000.0,6665000.0
1786,H,210000.0,6665000.0
1788,H,220000.0,6665000.0
1789,H,225000.0,6665000.0
1791,H,235000.0,6665000.0
1792,H,240000.0,6665000.0
1793,H,245000.0,6665000.0
1794,H,250000.0,6665000.0
1795,H,255000.0,6665000.0
1796,H,260000.0,6665000.0
1797,H,265000.0,6665000.0
1798,H,270000.0,6665000.0
1799,H,275000.0,6665000.0
1800,H,280000.0,6665000.0
1801,H,285000.0,6665000.0
1802,H,290000.0,6665000.0
1803,H,295000.0,6665000.0
1804,H,300000.0,6665000.0
1805,H,305000.0,6665000.0
1806,H,310000.0,6665000.0
1807,H,315000.0,6665000.0
1808,H,320000.0,6665000.0
1809,H,325000.0,6665000.0
1810,H,330000.0,6665000.0
1811,H,335000.0,6665000.0
1812,H,340000.0,6665000.0
1813,H,345000.0,6665000.0
1814,H,350000.0,6665000.0
1815,H,355000.0,6665000.0
1816,H,360000.0,6665000.0
1817,H,365000.0,6665000.0
1818,H,370000.0,6665000.0
1819,H,375000.0,6665000.0
1820,H,380000.0,6665000.0
1821,H,385000.0,6665000.0
1822,H,390000.0,6665000.0
1823,H,395000.0,6665000.0
1824,H,400000.0,6665000.0
1825,H,405000.0,6665000.0
1826,H,410000.0,6665000.0
1915,H,180000.0,6670000.0
